Journal,Discipline,,,,,,,,,,,,,,,,,,,,,,,,
A Matter of Spirit: Journal of the Intercommunity Justice and Peace Center,social science,,,,,,,,,,,,,,,,,,,,,,,,
"Acta Ecologica Sinica
",ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Advances in Complex Systems,multi-disciplinary,,,,,,,,,,,,,,,,,,,,,,,,
Advances in Infectious Diseases,health/disease,,,,,,,,,,,,,,,,,,,,,,,,
ADVANCES IN MARINE BIOLOGY,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Advances in Water Resources,geoscience,,,,,,,,,,,,,,,,,,,,,,,,
African Journal of Agricultural and Resource Economics,ses,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture and Human Values,ses,,,,,,,,,,,,,,,,,,,,,,,,
AGRICULTURE ECOSYSTEMS & ENVIRONMENT,ag,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, Ecosystems, and Environment",ag,,,,,,,,,,,,,,,,,,,,,,,,
Agronomy,ag,,,,,,,,,,,,,,,,,,,,,,,,
Ambio,multi-disciplinary,,,,,,,,,,,,,,,,,,,,,,,,
American Antiquity,humanities,,,,,,,,,,,,,,,,,,,,,,,,
American Fisheries Society,ses,,,,,,,,,,,,,,,,,,,,,,,,
American Fisheries Society Symposium,ses,,,,,,,,,,,,,,,,,,,,,,,,
American Journal Agricultural Economics,ses,,,,,,,,,,,,,,,,,,,,,,,,
American Journal of Tropical Medicine and Hygiene,health/disease,,,,,,,,,,,,,,,,,,,,,,,,
American Naturalist,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
American Prospect,social science,,,,,,,,,,,,,,,,,,,,,,,,
ANIMAL BEHAVIOUR,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Animal Feed Science and Technology,ag,,,,,,,,,,,,,,,,,,,,,,,,
Annals of Botany,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Annals of Glaciology,geoscience,,,,,,,,,,,,,,,,,,,,,,,,
Annals of the Association of American Geographers,geography,,,,,,,,,,,,,,,,,,,,,,,,
Annals of the New York Academy of Sciences,multi-disciplinary,,,,,,,,,,,,,,,,,,,,,,,,
"Annual Meetings of the Population Association of America, Los Angeles",social science,,,,,,,,,,,,,,,,,,,,,,,,
Annual Review of Environment and Resources,multi-disciplinary,,,,,,,,,,,,,,,,,,,,,,,,
Anthropology News,humanities,,,,,,,,,,,,,,,,,,,,,,,,
Applied Geochemistry,geoscience,,,,,,,,,,,,,,,,,,,,,,,,
Applied Geography,geography,,,,,,,,,,,,,,,,,,,,,,,,
Aquaculture Research,ag,,,,,,,,,,,,,,,,,,,,,,,,
Aquatic Ecology,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Aquatic Mammals,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Archiv für Hydrobiologie,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Arizona Law Review,law,,,,,,,,,,,,,,,,,,,,,,,,
Atmos. Ocean,geoscience,,,,,,,,,,,,,,,,,,,,,,,,
Auk,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Australian Journal of Agricultural and Resource Economics,ses,,,,,,,,,,,,,,,,,,,,,,,,
Automatica,multi-disciplinary,,,,,,,,,,,,,,,,,,,,,,,,
Biogeochemistry,biogeochemistry,,,,,,,,,,,,,,,,,,,,,,,,
Biogeosciences,biogeochemistry,,,,,,,,,,,,,,,,,,,,,,,,
Biological Conservation,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Biological Sciences,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Biology Letters,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
BIOSCIENCE,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
BioScience,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Biotropica,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
BMC Public Health,health/disease,,,,,,,,,,,,,,,,,,,,,,,,
Boreas,geoscience,,,,,,,,,,,,,,,,,,,,,,,,
Bull. Amer. Meteor. Soc.,geoscience,,,,,,,,,,,,,,,,,,,,,,,,
"Bulletin of Marine Science
",marine science,,,,,,,,,,,,,,,,,,,,,,,,
BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY,geoscience,,,,,,,,,,,,,,,,,,,,,,,,
Bulletin of the Ecological Society of America,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
California Archaeology,humanities,,,,,,,,,,,,,,,,,,,,,,,,
CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
CANADIAN JOURNAL OF ZOOLOGY-REVUE CANADIENNE DE ZOOLOGIE,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
"Capitalism, Nature, Socialism",multi-disciplinary,,,,,,,,,,,,,,,,,,,,,,,,
Caribbean Journal of Science,multi-disciplinary,,,,,,,,,,,,,,,,,,,,,,,,
Castanea,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
CHOICES,ag,,,,,,,,,,,,,,,,,,,,,,,,
Cities,ses,,,,,,,,,,,,,,,,,,,,,,,,
Climate Change,geoscience,,,,,,,,,,,,,,,,,,,,,,,,
Climate Research,geoscience,,,,,,,,,,,,,,,,,,,,,,,,
Climatic Change,geoscience,,,,,,,,,,,,,,,,,,,,,,,,
Computers and Electronics in Agriculture,ag,,,,,,,,,,,,,,,,,,,,,,,,
Computers and Geosciences,geoscience,,,,,,,,,,,,,,,,,,,,,,,,
Computers Environment and Urban Systems,geography,,,,,,,,,,,,,,,,,,,,,,,,
Conservation Biology,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Conservation Ecology,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Conservation Letters,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Crustaceana,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Current Anthropology,humanities,,,,,,,,,,,,,,,,,,,,,,,,
Current Opinion in Environmental Sustainability,ses,,,,,,,,,,,,,,,,,,,,,,,,
Current Zoology,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Die Erde,geography,,,,,,,,,,,,,,,,,,,,,,,,
Diseases of Aquatic Organisms,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Diversity,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Earth Interactions,geoscience,,,,,,,,,,,,,,,,,,,,,,,,
Earth System Dynamics,geoscience,,,,,,,,,,,,,,,,,,,,,,,,
EcoHealth,health/disease,,,,,,,,,,,,,,,,,,,,,,,,
Ecohydrology,hydrology,,,,,,,,,,,,,,,,,,,,,,,,
Ecological Applications,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Ecological Economics,ses,,,,,,,,,,,,,,,,,,,,,,,,
ECOLOGICAL INDICATORS,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Ecological Modelling,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Ecological Research,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Ecologies and Politics of Health,ses,,,,,,,,,,,,,,,,,,,,,,,,
Ecology,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Ecology and Society,ses,,,,,,,,,,,,,,,,,,,,,,,,
Ecology Letters,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
ECOLOGY OF FRESHWATER FISH,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
"Economics
",social science,,,,,,,,,,,,,,,,,,,,,,,,
Economics and Management,social science,,,,,,,,,,,,,,,,,,,,,,,,
Ecosphere,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Ecosystems,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Electrical Power Systems Research,engineering,,,,,,,,,,,,,,,,,,,,,,,,
Energy Strategy Review,social science,,,,,,,,,,,,,,,,,,,,,,,,
Envirnmental Engineering Science,engineering,,,,,,,,,,,,,,,,,,,,,,,,
Environment,multi-disciplinary,,,,,,,,,,,,,,,,,,,,,,,,
Environment and Behavior,ses,,,,,,,,,,,,,,,,,,,,,,,,
Environment and Society,ses,,,,,,,,,,,,,,,,,,,,,,,,
Environmental and Development Economics,social science,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Biology of Fishes,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Biosafety Research,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Conservation,ses,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Hazards: Human and Policy Dimensions,ses,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Health Perspectives,health/disease,,,,,,,,,,,,,,,,,,,,,,,,
Environmental History,humanities,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Managment,ses,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Modelling and Software,multi-disciplinary,,,,,,,,,,,,,,,,,,,,,,,,
"Environmental Pollution 
",ses,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Reserach Letters,multi-disciplinary,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Resources Economics,ses,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Science & Technology,multi-disciplinary,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Science and Technology,multi-disciplinary,,,,,,,,,,,,,,,,,,,,,,,,
Estudos Avancados,multi-disciplinary,,,,,,,,,,,,,,,,,,,,,,,,
European Conference on Computer Vision,engineering,,,,,,,,,,,,,,,,,,,,,,,,
Europhysics Letters,physics,,,,,,,,,,,,,,,,,,,,,,,,
Evolution,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Evolutionary Applications,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
FISH AND FISHERIES,ses,,,,,,,,,,,,,,,,,,,,,,,,
FISHERIES,ses,,,,,,,,,,,,,,,,,,,,,,,,
"Fisheries Oceanography 
",marine science,,,,,,,,,,,,,,,,,,,,,,,,
Fisheries Research,ses,,,,,,,,,,,,,,,,,,,,,,,,
Food Policy,social science,,,,,,,,,,,,,,,,,,,,,,,,
Forest Ecology and Management,ses,,,,,,,,,,,,,,,,,,,,,,,,
Forest Policy and Economics,ses,,,,,,,,,,,,,,,,,,,,,,,,
Forests,ses,,,,,,,,,,,,,,,,,,,,,,,,
Freshwater Biology,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Frontiers in Ecology and the Environment,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Functional Ecology,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
General Technical Report NRS-138,NA,,,,,,,,,,,,,,,,,,,,,,,,
Genetic and Evolutionary Computation Conference (GECCO 2009),ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Geoforum,geoscience,,,,,,,,,,,,,,,,,,,,,,,,
Geomorphology,geoscience,,,,,,,,,,,,,,,,,,,,,,,,
Geophysical Research Letters,geoscience,,,,,,,,,,,,,,,,,,,,,,,,
Georgia Journal of Ecological Anthropology,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
GIScience and Remote Sensing,remote sensing,,,,,,,,,,,,,,,,,,,,,,,,
Global Change,geoscience,,,,,,,,,,,,,,,,,,,,,,,,
"Global Change Biology
",ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Global Environmental Change,ses,,,,,,,,,,,,,,,,,,,,,,,,
Ground Water Monitoring and Remediation,hydrology,,,,,,,,,,,,,,,,,,,,,,,,
Hazard Management,ses,,,,,,,,,,,,,,,,,,,,,,,,
HEREDITY,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Human Ecology,ses,,,,,,,,,,,,,,,,,,,,,,,,
Hydrobiologia,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Hydrogeology Journal,geoscience,,,,,,,,,,,,,,,,,,,,,,,,
Hydrol. Processes,hydrology,,,,,,,,,,,,,,,,,,,,,,,,
Hydrological Processes,hydrology,,,,,,,,,,,,,,,,,,,,,,,,
Hydrology and Earth System Sciences,hydrology,,,,,,,,,,,,,,,,,,,,,,,,
IAHS Proceedings from Cold Region Hydrology in a Changing Climate,hydrology,,,,,,,,,,,,,,,,,,,,,,,,
ICES Journal of Marine Science,marine science,,,,,,,,,,,,,,,,,,,,,,,,
ICES Journal of Marine Sciences,marine science,,,,,,,,,,,,,,,,,,,,,,,,
IEEE Conference on Computer Vision and Pattern Recognition,engineering,,,,,,,,,,,,,,,,,,,,,,,,
IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,remote sensing,,,,,,,,,,,,,,,,,,,,,,,,
IEEE Transactions on Pattern Analysis and Machine Intelligence,engineering,,,,,,,,,,,,,,,,,,,,,,,,
Inside Agroforestry,ag,,,,,,,,,,,,,,,,,,,,,,,,
"Integrated Environmental Assessment and Management
",ses,,,,,,,,,,,,,,,,,,,,,,,,
Internat. J. Climatology,geoscience,,,,,,,,,,,,,,,,,,,,,,,,
International Forestry Review,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
International Journal of Biometeorology,geoscience,,,,,,,,,,,,,,,,,,,,,,,,
International Journal of Biostatistics,mathematics,,,,,,,,,,,,,,,,,,,,,,,,
International Journal of Computer Vision,engineering,,,,,,,,,,,,,,,,,,,,,,,,
International Journal of Digital Curation,social science,,,,,,,,,,,,,,,,,,,,,,,,
International journal of environmental research and public health,health/disease,,,,,,,,,,,,,,,,,,,,,,,,
International Journal of Environmental Research and Public Health,health/disease,,,,,,,,,,,,,,,,,,,,,,,,
International Journal of Forestry,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
International Journal of Geo-Information,geography,,,,,,,,,,,,,,,,,,,,,,,,
International Journal of Geographical Information Science,geography,,,,,,,,,,,,,,,,,,,,,,,,
"International Journal of Health Geographies
",health/disease,,,,,,,,,,,,,,,,,,,,,,,,
International Journal of Remote Sensing,remote sensing,,,,,,,,,,,,,,,,,,,,,,,,
International Journal of Sustainable Development,ses,,,,,,,,,,,,,,,,,,,,,,,,
International Journal of Wildland Fire,geoscience,,,,,,,,,,,,,,,,,,,,,,,,
J. Geophys. Res.,geoscience,,,,,,,,,,,,,,,,,,,,,,,,
J. Geophysical Research-Biogeosciences,biogeochemistry,,,,,,,,,,,,,,,,,,,,,,,,
JGR-Biogeosciences,biogeochemistry,,,,,,,,,,,,,,,,,,,,,,,,
JGR-Oceans,marine science,,,,,,,,,,,,,,,,,,,,,,,,
Jounal of Geophysical Research,geoscience,,,,,,,,,,,,,,,,,,,,,,,,
Jounral of Archaeological Science,humanities,,,,,,,,,,,,,,,,,,,,,,,,
Jounral of Theoretical Biology,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Agricultural and Applied Economics,ses,,,,,,,,,,,,,,,,,,,,,,,,
Journal of American Water Resources Association,ses,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Animal Ecology,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Applied Ecology,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Applied Meteorology and Climatology,geoscience,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Archaeological Method and Theory,humanities,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Arid Environments,geoscience,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Climate,geoscience,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Coastal Management,ses,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Coastal Research,marine science,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Development Studies,social science,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Earth Science,geoscience,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Ecology,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Environmental Economics and Management,ses,,,,,,,,,,,,,,,,,,,,,,,,
JOURNAL OF ENVIRONMENTAL ENGINEERING-ASCE,engineering,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Environmental Indicators,ses,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Environmental Management,ses,,,,,,,,,,,,,,,,,,,,,,,,
JOURNAL OF EVOLUTIONARY BIOLOGY,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Extension,ag,,,,,,,,,,,,,,,,,,,,,,,,
JOURNAL OF FISH BIOLOGY,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Fish Biology,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Forestry,geoscience,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Geophyscial Research -Earth Surface,geoscience,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Geophysical Research,geoscience,,,,,,,,,,,,,,,,,,,,,,,,
JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES,geoscience,,,,,,,,,,,,,,,,,,,,,,,,
JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,biogeochemistry,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Glaciology,geoscience,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Great Lakes Research,multi-disciplinary,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Human Evolution,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Hydrology,hydrology,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Land Use Science,ses,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Latin American Geography,geography,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Marine Research,marine science,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Medical Entomology,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Natural Resource Policy,social science,,,,,,,,,,,,,,,,,,,,,,,,
Journal of North American Benthological Society,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
"Journal of Northwest Atlantic Fishery Science
",ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Physical Oceanography,marine science,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Planning Education and Research,social science,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Soil and Water Conservation,geoscience,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Sustainable Forestry,ses,,,,,,,,,,,,,,,,,,,,,,,,
Journal of the American Water Resources Association,ses,,,,,,,,,,,,,,,,,,,,,,,,
Journal of the North American Benthological Society,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Journal of the North Atlantic Fisheries Science,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
Journal of Theoretical Biology,ecology /biology,,,,,,,,,,,,,,,,,,,,,,,,
